Bridge Number According to Zucchetta,Bridge Name,Bridge Code,Canal Width (m),ID,Year Constructed,Date of Last Restoration,Year of Last Restoration,Time of Survey (24:00),Date of Survey,Survey Incomplete?,Private Bridge?,Address,Address Letter,Number of Street Address On Bridge,Street Addresses on Bridge,Canal Crossed,Segment Code,Northern Island Number,Southern Island Number,Northern Sestiere Code,Name of Northern Sestiere,Southern Sestiere Code,Name of Southern Sestiere,Number of Arches,Arch Style Code,Arch Style,Crooked Bridge?,Handicapped Accessible?,Number of Ramps,Construction Material Code,Construction Material,Numerical Condition of Bridge,Qualitative Condition of Bridge,Decorations,Numerical Condition of Decorations,Qualitative Condition of Decorations,Number of Northern Steps,Number of Southern Steps,Total Number of Steps,Height of Step (cm),Code for Material of Step Face,Face Material,Conditions of the Step Face,Description of Step Face Conditions,Step Depth (cm),Step Pavement Material Code,Step Pavement Material,Numerical Condition of Step Pavement Material,Qualitative Condition of Step Pavement Material,Minimum Step Width (m),Step Surface (Min),Total Surface Area of Steps (m^2) ,Material Code of Summit Pavement,Material of Summit Pavement,Numerical Condition of Summit Pavement,Qualitative Condition of Summit Pavement,Full Width Including Railings (m),Net Width of Bridge (m),Width of Summit (m),Length of Summit (m),Surface Area of Summit (m^2),Total Surface Area of Pavement (m^2),Surface Area From Map,Estimated Surface Area,Hypotenuse North (deg),Hypotenuse South (deg),N Cathetus (deg),S Cathetus (deg),Inclination North (deg),Inclination South (deg),Maximum Inclination (deg),Code for railing type,Type of Railing,Code for the material of the rail,Railing Material,Railing condition,Qualitative condition of Railing,Width of Eastern Railing (cm),Width of Western Railing (cm),Average railing width (cm),Average Height of Railing (m),Additional Handrail?,Protrusion North (m),Protrusion South (m),Span (m),Tide Level (m),Water level (cm),Height 1m North (m),Height Center (m),Height 1m South (m),Minimum Height (m),Average Height (m),Ratio of Span to Height,Thickness 2m North Of Center (m),Thickness 1m North Of Center (m),Central Thickness (m),Thickness 1m South of Center (m),Thickness 2m South of Center (m),Minimum Thickness (m),SE-N2,SE-N1,SE-C,SE-S1,SE-S2,H-N2,H-C,H-S2,SI-N2,SI-N1,SI-C,SI-S1,SI-S2,Photo Number of Arch,Photo Number of Ramp,Photo Number of Reference Elevation Point,Reference to CAD Drawings,Latitude,Longitude,Notes,History,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
535,Ponte del Borgo di Malamocco,MBORGO,12.28,35,,,,16:02,24-Nov-99,FALSE,FALSE,,,0,,Canale di Malamocco                                         ,MALA1     ,607,608,LD,Lido,LD,Lido,1,4,Sesto Acuto,FALSE,FALSE,2,42,Mattoni e Intonaco,4,Ottime,,,,0,0,0,0,,,,,0,3,Trachite,4,Ottime,,,,3,Trachite,4,Ottime,3.18,2.70,2.12,9.3,19.72,19.72,60.20,39.96,7.16,8.26,0,0,0,0,0,1,Piena,42,Mattoni e Intonaco,4,Ottime,24,24,24.00,0.97,FALSE,3.2,3.1,5.98,-0.16,0,1.57,1.68,1.57,1.57,1.61,3.81,0.93,0.53,0.48,0.51,0.75,0.48,1.9,1.5,1.43,1.48,1.72,3.23,3.27,3.21,0.97,0.97,0.95,0.97,0.97,B5,B6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
534,Ponte di via Cipro,CIPRO,10.99,34,,01-Jan-99,1,15:10,28-Nov-99,FALSE,FALSE,,,0,,Canale di via Rovigno                                       ,ROVI      ,602,601,LD,Lido,LD,Lido,3,2,Piano,FALSE,FALSE,2,4,Legno,4,Ottime,,,,0,0,0,0,,,,,0,4,Legno,4,Ottime,,,,4,Legno,4,Ottime,5.32,5.08,4.04,4.04,16.32,16.32,64.00,40.16,0,0,0,0,0,0,0,2,Vuoto Geometrico,4,Legno,4,Ottime,12,12,12.00,1.00,FALSE,0,0,10.99,0.08,0,2.36,2.36,2.36,2.36,2.36,4.66,0.38,0.38,0.38,0.38,0.38,0.38,1.38,1.38,1.38,1.38,1.38,3.66,3.66,3.66,1,1,1,1,1,F10,F9,,,,,Non ancora aperto.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
533,Ponte di via Diedo,DIEDO2,14,33,,,,12:45,25-Nov-99,FALSE,FALSE,,,0,,Canale demaniale Lido 2                                     ,DEMA2     ,601,601,LD,Lido,LD,Lido,1,6,Sesto Ribassato,FALSE,FALSE,2,9,Cemento Armato,2,Medie,Uno scudo sulla facciata est e uno sulla facciata ovest con leone di S. Marco,2,Medie,0,0,0,0,,,,,0,10,Calcestruzzo,1,Cattive,,,,10,Calcestruzzo,1,Cattive,2.25,2.19,2.25,18,40.50,40.50,46.30,43.40,0,0,0,0,0,0,0,3,Vuoto Decorato,6,Metallo,2,Medie,3,3,3.00,1.02,FALSE,0,0,14,0.52,0,2.61,2.62,2.63,2.61,2.62,5.36,0.14,0.14,0.13,0.12,0.12,0.12,1.16,1.16,1.15,1.14,1.14,3.25,3.25,3.25,1.02,1.02,1.02,1.02,1.02,B37,B38,,,,,Ex-ponte stradale. La lunghezza della sommit� coincide con la lunghezza del ponte.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
532,Ponte di via Anafesto,ANAFE,13.11,32,,,,13:20,25-Nov-99,FALSE,FALSE,,,0,,Canale demaniale Lido 1                                     ,DEMA1     ,601,601,LD,Lido,LD,Lido,1,6,Sesto Ribassato,FALSE,FALSE,2,9,Cemento Armato,2,Medie,Uno scudo a ovest. Uno scudo a est con leone di S. Marco,1,Cattive,0,0,0,0,,,,,0,10,Calcestruzzo,1,Cattive,,,,10,Calcestruzzo,1,Cattive,2.2,2.14,2.2,20.4,44.88,44.88,40.90,42.89,0,0,0,0,0,0,0,3,Vuoto Decorato,6,Metallo,2,Medie,3,3,3.00,1.02,FALSE,0,0,13.11,0.41,0,2.72,2.71,2.73,2.71,2.72,4.84,0.12,0.12,0.12,0.12,0.12,0.12,1.14,1.14,1.14,1.14,1.14,3.45,3.44,3.46,1.02,1.02,1.02,1.02,1.02,C5,C4,,,,,Ex ponte stradale. La lunghezza della sommit� coincide con la lunghezza del ponte.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
531,Ponte di via Corinto,CORIN,13.97,31,,,,15:00,25-Nov-99,FALSE,FALSE,,,0,,Canale di via Candia                                        ,CAND      ,606,601,LD,Lido,LD,Lido,1,6,Sesto Ribassato,FALSE,FALSE,2,9,Cemento Armato,2,Medie,Uno scudo a ovest ed uno a est con il Leone di S. Marco,1,Cattive,0,0,0,0,,,,,0,27,Asfalto e Cemento,0,Pessime,,,,27,Asfalto e Cemento,0,Pessime,2.24,2.18,2.24,20,44.80,44.80,48.20,46.50,0,0,0,0,0,0,0,3,Vuoto Decorato,6,Metallo,2,Medie,3,3,3.00,0.98,FALSE,0,0,13.97,0.07,0,2.39,2.39,2.39,2.39,2.39,5.85,0.15,0.15,0.15,0.15,0.14,0.14,1.13,1.13,1.13,1.13,1.13,3.45,3.45,3.45,0.98,0.98,0.98,0.98,0.99,C8,C7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
530,Ponte di via Contarini,CONTAR,7.91,30,,,,9:10,26-Nov-99,FALSE,FALSE,,,0,,Canale di via Lepanto                                       ,LEPA3     ,605,601,LD,Lido,LD,Lido,1,1,A tutto Sesto,FALSE,FALSE,2,9,Cemento Armato,2,Medie,Uno scudo sul lato ovest ed uno sul lato est,2,Medie,7,7,14,12,9,Cemento Armato,2,Medie,43,9,Cemento Armato,2,Medie,1.88,0.81,11.32,9,Cemento Armato,2,Medie,2,1.88,2,3.5,7.00,18.32,19.20,18.76,0,0,0,0,0,0,0,2,Vuoto Geometrico,6,Metallo,2,Medie,6,6,6.00,0.89,FALSE,0,0,7.91,0.3,0,2.51,2.58,2.47,2.47,2.52,3.20,0.35,0.32,0.27,0.36,0.40,0.27,1.3,1.17,1.12,1.21,1.35,3.38,3.4,3.38,0.95,0.85,0.85,0.85,0.95,D3,D2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
529,Ponte di via Bragadin,BRAGA,8.24,29,,,,10:25,27-Nov-99,FALSE,TRUE,24,A,1,24A,Canale di via Lepanto                                       ,LEPA2     ,604,601,LD,Lido,LD,Lido,1,6,Sesto Ribassato,FALSE,FALSE,2,9,Cemento Armato,2,Medie,,,,8,8,16,12,9,Cemento Armato,2,Medie,41,9,Cemento Armato,2,Medie,2.78,1.14,18.24,9,Cemento Armato,2,Medie,3.73,3.65,2.78,3.2,8.90,27.13,38.00,32.57,3.55,3.55,0,0,0,0,0,2,Vuoto Geometrico,6,Metallo,2,Medie,4,4,4.00,1.02,FALSE,0,0,8.24,0.33,0,2.4,2.42,2.41,2.4,2.41,3.43,0.50,0.44,0.40,0.44,0.38,0.38,1.48,1.48,1.41,1.47,1.43,3.55,3.5,3.55,0.98,1.04,1.01,1.03,1.05,D34,D33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
528,Ponte di via Lepanto,LEPAN,7.98,28,,,,11:05,27-Nov-99,FALSE,FALSE,,,0,,Canale di via Lepanto                                       ,LEPA1     ,603,601,LD,Lido,LD,Lido,1,3,Policentrico,FALSE,FALSE,2,9,Cemento Armato,2,Medie,,,,6,6,12,16,10,Calcestruzzo,2,Medie,31,10,Calcestruzzo,2,Medie,1.63,0.51,6.06,10,Calcestruzzo,2,Medie,1.8,1.68,1.68,7.4,12.43,18.50,13.40,15.95,2.06,1.95,0,0,0,0,0,2,Vuoto Geometrico,6,Metallo,1,Cattive,6,6,6.00,0.99,FALSE,0,0,7.98,0.39,0,2.41,2.45,2.41,2.41,2.42,3.31,0.47,0.31,0.27,0.31,0.42,0.27,1.46,1.3,1.26,1.3,1.41,3.32,3.32,3.32,0.99,0.99,0.99,0.99,0.99,E2,E3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
527,Ponte di via Pisani,PISANILI,10.34,27,,,,11:30,27-Nov-99,FALSE,TRUE,4,B,1,4B,Canale di via Lepanto                                       ,LEPA1     ,601,603,LD,Lido,LD,Lido,1,8,Trapezoidale,FALSE,FALSE,2,4,Legno,4,Ottime,,,,12,12,24,15,13,Vuoto,,,32,4,Legno,4,Ottime,1.37,0.44,10.52,4,Legno,4,Ottime,1.95,1.81,1.86,4.98,9.26,19.78,21.40,20.59,3.75,3.75,0,0,0,0,0,2,Vuoto Geometrico,4,Legno,4,Ottime,7,7,7.00,1.15,FALSE,0,0,10.34,0.43,0,3.08,3.08,3.08,3.08,3.08,3.36,0.14,0.14,0.14,0.14,0.14,0.14,1.29,1.29,1.29,1.29,1.29,3.94,3.94,3.94,1.15,1.15,1.15,1.15,1.15,E1,D35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
526,Ponte di via Zeno,ZENOLI,14.19,26,,,,9:29,07-Dec-99,FALSE,FALSE,,,0,,Canale di via Rovigno                                       ,ROVI      ,602,601,LD,Lido,LD,Lido,3,8,Trapezoidale,FALSE,FALSE,2,4,Legno,1,Cattive,,,,0,0,0,0,,,,,0,4,Legno,1,Cattive,,,,4,Legno,1,Cattive,2.25,2.09,2.2,7.03,15.47,15.47,72.50,43.98,7.2,6.8,0,0,0,0,0,2,Vuoto Geometrico,4,Legno,1,Cattive,8,8,8.00,0.90,FALSE,3.3,2.9,7.99,0.52,0,2.67,2.67,2.67,2.67,2.67,2.99,0.26,0.26,0.26,0.26,0.26,0.26,1.16,1.16,1.16,1.16,1.16,3.31,3.31,3.31,0.9,0.9,0.9,0.9,0.9,A1,A2,,,,,"Ponte senza scalini. Presenza di reti tecnologiche (linee elettriche, condutture idrauliche e gasdotto) ai lati est ed ovest. Presenza di piloni in cemento.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
